,beer_id,username,review
37,150672,byronic,Poured a bit lively and had to wait for it to settle very nice lacing. Slightly hazy golden straw. Floral notes maybe a hint of citrus. Quite smooth on the palate a touch bitter and definitely a pungent finish as advertised. Somewhat of a dry finish and something about the lingering taste is off. The mouth coating is a touch creamy.
39,150672,Coronaeus,"355ml can. Bright copper with a dense foamy head that dissipates slowly leaving thin lacing. Pine, lemon, lime on the nose. Forceful bitterness upfront with blended citrus flavours dominating. Medium body. Very nice."
43,150672,wanderingspirit,"Quite balanced and distinct IPA of a West Coast style IPA from this small prairie city brewery. Packs a punch at 7abv but the bite is layered by pine and citrus aroma and taste, but a nice malt finish and stands up to many west coast IPAs. Nice start for Black Bridge."
44,150672,Phyl21ca,Can: Poured a clear amber color ale with a large foamy head with good retention and some light lacing. Aroma of citrusy hops notes with some light dry caramel malt notes. Taste is also dominated by citrusy hops notes with medium bitter notes with some dry caramel malt notes. Body is about average with good carbonation. Slightly better than your standard IPA.
48,150672,Sathanas,"Can bought online from Liquor Direct. Drank it warm. Dank. Juicy. A little bit of bitterness. A bit of caramel, honey and biscuit. Perfectly balanced. Sound good? Yeah... yeah it does. 7% abv but drinks like a 4% ISA. Easily one of the best standard IPA's I've had from Canada. Cheers!"
50,150672,KingHoppy,"Passing through Swift Current SK, I stopped at Original Joe's for a late night meal. Many times previously, they had no IPAs whatsoever so I almost didn't ask but when I did, I was pleasantly surprised they were now carrying the hometown craft beer IPA! by Black Bridge Brewery. Notes of citrus, pine, floral, everything you could want in an IPA and with a respectable 7% alcohol kick as well. Very well balanced with the malt. Immediately it was one of my favorite American style IPAs. The next day I went to the Swift Current liquor store and bought three 4-packs. I haven't seen it outside of Swift Current, SK but since it's a new brewery they will surely expand to other locations. If you're passing through Swift Current, you got to try this beer - otherwise keep your eyes open for it in your local beer store."
53,150672,Bunman3,"Yes, please! I've been hoping to find Black Bridge for a while and it was certainly worth the wait. This is a well-constructed, subtle IPA. The malt and hops wrassle happily to create an extremely pleasant beer. I am looking forward to sampling the rest of this brewery's lineup!"
56,150672,sasky7777,A well put together hoppy ale. Easy drinking and great aroma and flavour. It hits everything you would look for in an IPA
59,150672,biboergosum,"355ml can, the latest from this nascent craft brewery from Swift Current, Saskabush. This beer pours a clear, medium copper amber hue, with four flabby fingers of puffy, rocky, and somewhat bubbly bone-white head, which leaves some exploded bike chain lace around the glass as things quickly subside. It smells of pungent, and sort of dank piney, leafy hops straight off, with a strong pithy orange, white grapefruit, and lemon rind citrus fruit abettor, some chalky flintiness, and a middling grainy caramel malt sweetness. The taste is gritty, grainy pale and semi-sweet caramel malt, a muddled green forest floor detritus bitterness, musty orange, lemon, and pineapple citrus notes, a still persistent earthy flintiness, and the suggestion of a hint of a wisp of metallic warming alcohol. The carbonation is fairly peppy and engaging in its low-key fizzy and outright frothy nature, the body an adequate medium weight, and more or less smooth, the hops displaying some down-home hospitality, they are. It finishes off-dry, the malt not ready to cede the flag just yet, while the hops start a campaign to consider a plan to circle the wagons. A pleasantly rendered, high-octane IPA, the hops more prevalent up top, but that's ok, the beer overall doesn't lag as a result, like some. Anyways, nice to see another well made local-ish IPA, and in cans to boot - hope to see this still around next summer, when I finally try to get back out camping, toddler in tow."
62,311190,Rub_This_BBQ,"look is great dark with a nice creamy head, but down hill from there. Overall for the ABV and style it feels me wanting more. The nose is muted and the taste follows very little malt or stout like flavors. Great pour but seems more a gimmick then a great beer"
69,104824,Fcolle2,"Batch 209 Pours thick dark viscous black in color with a thin fizzy film of a head that disappears rather quickly. Smell has some decadent rich caramel and toffee aromas along with a bourbon soaked raisin sweet aroma and lightly tart dark red cherry aroma.Tons of vanilla tannins and barrel notes are balanced along side some light roasted marshmellow, and bourbon notes. Taste follows the nose with a big caramel and toffee sweetness hitting the palat first along side some fig and date flavors. Loads of vanilla tannin and toasted marshmellow come out along with some oak barrel and bourbon flavors,roasted malt, a walnut like nutty flavor and moderate amounts alcohol in the finish. Super tastey. Mouthfeel is really rich and creamy, a nice sipping beer. Completely costs the mouth with sticky sweet goodness."
73,104824,kevanb,"12oz bottle poured into a Pipeworks snifter. The beer pours a jet black color and has extreme opacity with a very thick texture. A thin but taut khaki head rises that has decent retention and leaves some spotted lace behind. The aroma is wonderful, plenty of vanilla bean, lots of toasted coconut, lots of earthy wood with light bourbon, chocolate is bittersweet and brings out both a light roast quality and some hazelnuts. It's very complex but easily approachable and inviting. The flavors are just as impressive, massive coconut presence with some strong vanilla, chocolate, hazelnut, bourbon, charred wood with a bit of chalkiness in small doses. The body is a bit lighter than I expected, very silky and it coats the mouth well while the finish is delicate and smooth. Verdict: An absolute stunner from Pipeworks. A textbook example of improving upon a base beer using barrels, adds not only complexity but depth. The balance of flavors is wonderful, everything in harmony, both sweet and earthy. This is easily my favorite Pipeworks beer to date and a remarkably good stout."
77,104824,Kevinpitts,"Really awesome Pipeworks brew. Not suprising as the regular Games of Jones is so good. Tastes like a good barrel aged beer, but with some sweet chocolate flavor. Unique barrel aged offering. Definitely worth a try."
86,74580,icehawk,"Bottle (from stfun) Appearance: Opaque black with short lasting off-white head Aroma: Fruity, alcohol, chocolate Taste: Fruity, banana undertones, with slightly bitter dark chocolate flavors Palate: Full mouthfeel, slightly chalky, unique cocoa like bitterness, but finishes sweet and dry. Overall: Interesting porter that brings in some elements that make it quite enjoyable and different than ""american"" porters."
95,74580,secondtooth,"Pours a dark ruby, with a small head of tan bubbles. Minimal lacing. Nose is roasty and fruity, and the body is light, even watery. Flavor is toffee up front, with some roasty chocolate in there as well. Maybe this isn't super unique or standout, but it does go down smoothly, and Backyard Porter is a faithful and flavorful English-style porter."
107,74580,grogged,"On tap at the Red Lion Grog House. Served in 16 oz glass w/ Fountain Square Brewing logo. Pours a deep brown with a creamy tan head that looks delicious. The smell was fragrant, almost earthy, yet slight off. Roasted coffee comes to mind, but there's an industrial whiff to it also. The mouthfeel is different. The carbonation stands out noticeably and not for the better. Full, yet fizzy and inconsistent. The coffee taste comes to the fore and so does the bitterness. The problem I had with this beer is that the bad carbonation notes and the bitterness linger too long in the brut(al) finish. I can love a beer that's slightly off, but this one was too far off for me. A drain pour."
108,74580,aasher,"On draft at McKenzie River off of 82nd St. This arrived a medium bodied coca brown in color on the verge of black with a one finger cream colored head. The nose features slight coffee, slight dark chocolate, and bitter roast. It solid, more bitterness than most. The flavors feature coffee and cream first and foremost. The chocolate is light subtly sweet. It finishes off dry and bitter. It drinks smoothly and between light and medium in body. Overall this is a solid beer and a nice first experience from this brewer. I'll try more of their beers in the future."
109,58482,Imstillthegman,"This one pours a cloudy rusty orange with about a fingers worth of off-white head. The head quickly faded to a ring, but left nice lacing. The aroma is a basic version of what I had hoped for. Sweet fruit and candi sugar with a bit of peppery yeast and a herbal/floral hop note. Not bad, just doesn't wow me. The flavor is quite enjoyable. I get the yeast right up front quickly followed by the sugars and fruit (pear and apple). The yeast comes back into play again with a nice pepper bite before I get the earthy hops. Active carbonation keeps the flavor going after the swallow. Not too bitter, more dry and white peppery. Very enjoyable brew that I will pick up again."
110,205644,Jaypeajus,"Not sure what to expect except I look forward to coconut..looks ok, not much head retention, much darker than brown, but I'm new to brown ales. First smell is like a smokey bock, whiffs of chocolate, tastes of charred chocolate cinnamon burnt banana slight mintyness, smokehouse flavors but not much of any coconut to me, bummed a bit about that. Feel is viscous not much in the hop register leaves a smokey residue on the tongue and mouth. Overall pretty complex very drinkable but no coconut and I only bring it up cos the label says it. Oh it does say toasted coconut so maybe that's all the smokiness. First burn em brew and it was good."
116,205644,Discos2,"16oz can>pint glass A- rich dark brown with a light khaki head. Great lacing. S- very sweet roasted malt smell with hint of toasted coconut. T- sweet, brown sugar, not overwhelming at all with coconut. Toasted coconut a bit in finish. F- smooth with a bit of boldness. O- very nice brown ale. Another A+ offering from burn'em."
117,205644,richj1970,"Poured from 16 oz can into nonic pint. No visible date. A: Dark black with 2-3 finger dense light tan head with excellent retention and leaving some nice lacing. S: Aroma is a bit subdued, but some coconut and chocolate are most prominent. T: Sweet roasted malts mixed with coconut and chocolate. Some hazelnut lingering around in the back. M: Full bodied but not heavy. Creamy texture with an almost milk shake quality to it. O: Very nice brown ale. Refreshing and easy drinking with a flavor profile I really enjoy."
122,206623,rodbeermunch,"Dark brown pour, not the thickest, its a wee heavy, not a stout. Real thin 1/8"" of tan head, whisps away quickly. Nice aroma, possibly the best part of the beer, good irish malt feel, bourbon and oak plenty strong but not overly done. Smooth taste, relatively easy drinking, good bourbon delivery vessel. Mild roasted malt notes, dark fruit way in the back, not overripe, not bitter, pretty smooth, carbonation spot on. Good stuff, nice use of barrel in this one."
123,206623,ivegot3Dvision,"I enjoyed this more than I thought I was going to. L: Slightly dark, exactly what I was expecting. S: Light barrel character, caramel, maple, sweet malt. T: Dark fruit, light bourbon, malty, sweet with little to no hop flavor. F: A little lighter than I was hoping, but the base beer isn't very heavy (heh) in the first place. Just the right amount of carbonation. O: I really enjoyed this, I think it will age well. About the previous reviewers note about pruno: obviously you've never had pruno, this is very, very far from pruno."
125,206623,deford,Poured from a bomber into a Firestone Walker Tulip. Just a tad darker in color than caramel and hazy. Quite strong alcohol on the nose...like pruno....smells like I'm in County Jail. Taste follows with a very sweet barrel presence. Mouthfeel is smooth. Finishes like a weak Bourbon....overall easy to drink.
127,174137,JerzDevl2000,"11 1/2 years on here and never did I review a beer in a crowler, until today. Someone I trade with got me this a while back and I finally got around to cracking this 32 oz'er down on this cool morning. I'll give any brewery in my home state a go and for a first impression, this wasn't that bad. Not much information was given on the can except that Village Idiot was located in Mount Holly and that the ABV was 6.8%, and not the 6.5% listed on here... Nice pour to this, as the beer had a deep and hazy golden hue to it, with plenty of head on top to boot. Deep rings of soapy lacing were left behind as the head had a nice retention as I worked my way through this. Not a strong aroma to this but there was a good amount of honey sweetness present to draw me in. Metallic hops, citrus pith, and a grassy undertone all combined for an unusual, but relatively pleasing taste that was pretty full while making this beer seem more like a balanced Pale Ale than an IPA. A low amount of carbonation, spicy malt presence like bread, and medium body kept this from feeling too heavy though this could have been a bit more balanced! Just the right amount of alcohol in here given the massive size of this. Nice job on this beer as I'm intrigued as to what else these guys are capable of. Time to start canning and getting more New Jersey breweries onto the proverbial map!"
138,96331,dirtylou,"on-tap @ the brewery I believe this is different than some similarly named DIPA's that have surfaced from Bainbridge - the board at the brewery suggested this was brewed for their 1st anniversary (though not technically their ""first anniversary beer""). Sticky, dank hops - moderate bitterness, nice sugary citrus, doughy malt."
141,125646,allrecreational,0%
144,58482,Kadonny,"Poured from a bottle into a Duvel tulip glass. A: A nice cloudy gold color with a nice one finger white fluffy head. Nice glass lacing. S: Sweet fruits with some candy sweetness and a nice floral hop smell. Not overly complex, but nice. T: Sweeter fruits start first with hints of pear, apple, orange followed by a deep candy sweetness and maybe some bubblegum. A nice yeasty spicy funk is tasted and then you get this massive hop hit. Tastes of floral spicy earthy hops linger at the finish and leave a nice bitterness. Not overly complex again, but very nice. M: Medium and coating with some prickly aspects. Nice lingering bitterness. D: High, these are really drinkable, and the abv is totally hidden. Overall this beer is a tweener to me, but a perfect tweener. It's hoppier than a BPA, but not as hoppy as a Belgian IPA. It really is a great beer that is really enjoyable. Dan, this beer is wonderful, I love it. If you brew it regularly, I will buy it. A damn fine beer that is a nice mix between a Belgian and an American that is very enjoyable and drinkable. Good stuff!"
145,58482,Sammy,"On-tap at Mr. Goodbar's. Some yeast aroma. White soapy head on light orange body. Medium mouthfeel. Smooth, and spicey, corriander, a little cloves and pepper.A little bannana. A little hoppy and drying in the finish. An average beer overall, likely better with food."
146,58482,Lexluthor33,"A hazy,golden color with a really nice looking head and lace. The aroma of spice,grain and fruit/gum. The taste is sweet bubblegum flavor with only a touch of bitterness that is overcome by a good helping of hops. Some citrus notes as well. The feel is light to medium body with a smooth ending.Medium carbonation. Notes: Not Belgian,but still a very good beer."
147,58482,jamie2dope,"Here we go again, another brew from Weyerbacher. This one is a Belgian Pale, which is a hit or miss style for me. Clear orange in color, with a decent amount of white head. Lots of bubbles are racing to the top of this beer. Musty smells start things off and stay throughout, with traces of fruit thrown in here and there. More phenols in the taste, along with some grapefruit-esq hops, and a dry finish. Medium bodied, this is one crisp and refreshing Belgian beer. Drinking it is pretty damn easy too. Here we have another winner from Weyerbacher. Keep up the good work guys."
148,58482,dogfishandi,"MY 100TH REVIEW kinda wish i couldve had a little better beer than this for the 100th, but the next 2 should make up for it. pours a hazy glowing orange amber color. big fluffy head, almost pure white faded to a ring half way through the glass. just a touch of lacing. in the aroma your hit with big bubblegum and bananna from the yeast, some spiciness, floralness, from the hops i imagine. the aroma almost reminds me of the flouride u used to get from the dentist when you were a kid. for the taste you get some of the belgian yeast character, flouride taste, and then you get a lot of american hops. the 2 flavors combined create a kind of spiciness, almost peppery if you will. finishs a dry bitter spicy flavor that lingers. seems more like a belgian APA. doesnt seem to have the soft fluffy goodness of the true belgian PAs. for this i go down in the score a little, still a very good beer. smooth mouthfeel, medium body. good carb. but just not the same as an authentic belgian. good drinkability."
149,58482,DanielClouser,"I recently thought about the idea of toning down the bold new Belgian IPA style to a Belgian APA. I think Weyerbacher had the same idea, and Zotten is the result, as it is not consistent with the classic BPA style. Overall, it was very successful, but there was a pervasive grassy sort of bitterness in the flavor that really hurt the brew (especially its drinkability). I think maybe the hops variety used and/or how much is used for bittering should be re-evaluated for this beer, as it otherwise has potential to be excellent."
150,58482,Patrick999,"Pours an attractive shiny pale copper, like a penny. Copious bubblegum in the nose, some clove. I thought it was an impressive strong aroma. Nice flavor, a Belgian pale with much of the sweet bubblegum flavor, cut with a dose of citrusy American hops. A flavorful little beer. It doesn't feel as light and pillowy as a from-Belgium Belgian pale, but few American interpretations of the style do. Good beer. I wasn't prepared to like it as much as I do."
151,58482,JohnQVegas,"Bottle into Sam Adams Lager glass. Pours a hazy bright copper, just a bit on the dark side, with a thin, fizzy off-white head that disappears pretty quickly. Nose is nice - tangy tropical fruit and spices (coriander?), c-hops come though citrusy and pungent. Yeast comes through tangy and just a bit peppery. I like this one, though the northwestern hops tend to steal the show just a bit - they could be toned back a tad. Or at least made cleaner, their pungency is what's holding this one back. Taste carries more notes of lightly pungent c-hops, citrus and tropical fruit, big and spicy yeast note, peppery even. Light to moderate bitterness towards the finish that carries with the peppery, spicy note on the finish. Interesting, but the c-hops really take an overly heavy hand with this one in my opinion - give me a Belgian pale with grassy noble hops any day of the week. Not as subtle as I'd like it to be, but still pretty tasty. Mouthfeel is ok. The hops are laid on a little thick and rob the beer of the lightness I was hoping for, the body being a bit full as a result. Not as dry as I was hoping for either. Drinkability is pretty nice. When they say Belgian Pale Ale, I think they mean, Belgian-influenced American Pale Ale, not Belgian Pale Ale as in the traditional Belgian style. At least that's my take on it anyway. Still, not exactly what I would call a resounding success - not every style is made better with a big punch of American hops. Leads me to wonder what a classic like Sierra Nevada Pale Ale, which isn't quite as heavy handed with the hops, would do with such a treatment. Compared to the classics of the style like Orval, though, this one isn't even close."
152,58482,wiseguy142,"Pretty good looking. Amazing viscous head, lasts a while with some quickly dried up foamy lacing. Not a big fan of the color.. sort of a stereotypical beer color but there's nothing wrong iwth it. The aroma is almost too much for my 1 unclogged nostril to handle. Sort of a pungent Belgian smell. I'm not a huge Belgian fan in general and it comes off to me as smelling like bleach. Otherwise very floral to sort of an extreme, like smelling a scented candle. The taste again follows the bleachy smell. Maybe I'm sensitive to this because some of my early homebrews had problems with phenols, but this is a phenol phuck phest. Sweet and tart around the edges with a hint of alcohol. You can tell the beer is bottle conditioned because it feels a bit foamy immediately when it enters your mouth. Drinkability not so much. I'm having trouble finishing this. I don't think it's bad per say. I read in BA mag that some people were claiming it's too young and I think I tend to agree. Never been a big fan of Belgian Pale Ales in the first place- the Belgians I really like are the Strong Dark Ales but I wanted to try this out. I'm going to save the rest of the 4-pack for a few months and try again."
153,58482,hosehead83,"poured into a traditional pint glass Big billowy head-Deep gold to golden brown in color Aroma-Sweet malt, faint hop aroma Taste-Definite maltiness with an underlying English mineral hop flavor and a Belgian ""tang"" throughout--Abit unbalanced for my tastes, a bit more hop infusion would have evened things up some, but upon warming the flavors seemed to meld together a bit better. Overall, not too bad and certainly worth a try."
154,58482,TurtleCove,"12oz bottle bought as part of a mix pack from local beer distributor. Poured into a Duvel tulip, great looking beer. Deep golden honey brown, expected cloudiness from lees. Three finger white head, fine bubbles, subsides slowly to good lacing. Smell is as expected from a Belgian style pale ale, yeast, spice and citrus, maybe a hint of melon and banana too. Mouthfeel is nice, smooth and almost creamy form the fine carbonation. Taste, like smell, is as expected from a Belgian style pale ale with great yeast and a slight hoppy finish. One interesting, and very pleasant, flavor note is a slight herby flavor reminiscent of fresh dill. Eminently drinkable."
155,58482,callmemickey,"A: Murky pale orange-amber body. Moderate offwhite cap, little lacing... Not as robust as I expect from the style. S: Mild candied sugars, banana and yeast. Soft and rounded. T: More of the same. Pleasant, if not bland. Lacking in the depth to elevate to the next level. Mostly breaded malts and soft banana / yeast notes. M: Smooth. Clean finish. D: Easy drinking... overall the beer falters from its lack of sophistication and assertiveness... a solid beer nonetheless."
156,58482,techcommdood,"Pours a hazy dirty gold color with quite a bit of head (2+ fingers), and quickly reduces to a thin layer of light foam at the surface. Moderate lacing on the glass. A bit of a funky color, almost like 50/50 lemonade/iced tea. Strong malty nose with coriander, citrus, and peppercorn. Slight wildflower notes. Dry hoppy taste with malted barley, citrus zest, coriander, and a touch of black pepper. Mouthfeel is surprisingly mellow and juicy at first, but turns to dryness afterward. About average drinkability on this one. Overall, a good session ale."
157,58482,ToddT,"A- Slightly cloudy, pale orange/copper color with a two finger cream head. Head is sticky and leaves some lacing on the glass. S- Fruit, bubblegum, spice, sugar, and bananas. Mild in aroma. T- Taste is much more powerful than the aroma would have you think. Tart fruit right away, then a mild sweetness with spice follows to tone it down. This is quickly followed by an unexpected bitter hop bite. The aftertaste wavers between bitter, sweet, and astringent. M- Medium in body and well carbonated. Finish is clean but unusual with the lingering bittersweet tastes. D- Alcohol is well hidden and at 6% ABV it is pretty drinkable. I'm not sure if I would be able to session this one though. Tastes a little out of balance and not as smooth as I would expect a Belgian style to be. The finish is the flaw for me. Worth trying."
158,58482,maximum12,"Big thanks to AgeofQuarrel for sending this brew to Minnesota; I've been on the lookout for it & am excited to finally have this in my greedy, slightly dirty little hands (I was pulling weeds earlier). Pours an interesting pale orange hue, a bit like me when I've been out in the sun too long. A pass of the glass beneath my ass (nose) yields an interesting amalgam of the wheatiness of a hefe & the yeastiness of a Belgian. Interesting beer. The taste is a perfect mirror of the smell: Belgian candy & yeast, with a grassy, wheatishness that would be comfy in a hefe. Beneath the surface there are some summer fruits, & spices, maybe a bit of banana & cinnamon or something to contribute some depth & interest. Tart & dry on the tongue, with a mid-July taste that begs for a lawn chair & a copy of Frank Herbert's ""Dune"". Very good brew. Glad to have tried another Weyerbacher experiment, & a successful one at that. Start sending some of these north!"
159,58482,Nickls,"(From notes) A - Very thin, pure white foamy head; burnt orange/light rust color S - Citric; yeasty; bit of banana bread T - Bready yeastiness; darker fruit flavors; dry vinous finish M - Medium to thinner; fine, subtle carbonation D - Just a touch too heavy in the body against the style for me; and the dry/yeasty combo just didn't really demand more from me. Not an overly complex brew, but nice in certain aspects."
160,58482,cjgator3,"12oz bottle A- Poured into a snifter. Pours a orangish amber color with an off-white head. S- The aroma is pale malts with a nice fruitiness as well as some spices and yeast. T- The taste follows suit with some pale malt that is enhanced by a mild peppery spiciness and a touch of citrus. The finish is dry with a dry and earthy finish. M- The mouthfeel is light to medium bodied with a good amount of carbonation. D- Overall, I enjoyed this one. I think it is a great Belgian Pale Ale that is definitely worth picking up. Recommended!"
161,58482,cvstrickland,"Zotten pours brightly clear and brassy golden in color with a finger's thickness of grainy white foam atop. Steady streamers feed a slumping bubble-cap that retains at a thick sheet and deposits sliding lacing onto the sides of my shaker pint glass. The smell is sweet and fruity, with prominent peach-infused notes of spice-sprinkled sweet green banana. A light graininess laced with fresh-cut grass gains in stature as the drink progresses. The taste is mildly sweet and non-denominationally fruity with a wink of peppery spice and a stiff grassy bitterness that dries the finish. A mellow yeasty nuttiness provides earthy grounding for the profile. The drink is medium in body with crisp carbonation and is quite drinkable."
162,58482,LilBeerDoctor,"Reviewed on 06/22/2009. On draft. Pours a cloudy orange with a small head. Aroma is heavy, sweet, and lots of melon. Flavor of sweet hops initially with tropical fruits, bready malt (corn?) and melon and yeast in the finish. Not bad but I wasn't a fan of the aroma."
163,58482,jsanto,"s - 4 pack, bottles. served in a konings hoven goblet. a - looking at a light golden beer with a little head, but that is fine. s - light orange and slight alcohol.hint of spice. t - citrus spice beer. beer flavor. m - carbonation and alcohol citrus beer flavor. d - verry enjoyable beer to drink. the 4-pack was just enough."
164,58482,Casey10,"A - Golden color S - Earthy musky smell T - Wow a lot of different tones here earthy, wheat and raisons maybe. M - foamy light crisp tate D - Don't know if I would drink a lot of these but a nice representation of style. This is light beer that is a nice representation of the style that it is creating. I liked this beer but it did not blow me away."
168,58482,koopa,Bottle shared with beerloco. Appearance: orange amber with pale honey folds. A nice white 2 finger head with some retention and lacing. Smell: Some bubblegum and banana phenols with a spicy yeast and pale malt. Taste: Loads of delicious bubblegum and banana notes...is this a pale ale or a wheat beer!!! Nice belgian yeast with some spicyness to it. Earthy yet a touch sweet. Mouthfeel: Medium body with a nice amount of carbonation. Drinkability: Tasty and only 6% abv I was pleasantly surprised by this one and will try it again sometime.
169,58482,Slatetank,"I picked this up at Thirsty's in East York, PA. Poured chilled into a goblet. A - Dark honey amber w/ a pale 2 finger cap w/ a fine bead. Subtle lacing and a film remains when the head settles. S - Slightly phenolic aroma w/ spice and fruit notes in equal measure w/ a Belgian yeast nose that has slight banana esters M - Mild spiciness w/ mild carbonation and slightly bitter feel w/ a dry finish T - A mild hop is nestled under a spiced yeast flavor w/ mild tropical fruit note from the yeast w/ a gentle sweet flavor from the malt. A light biscuit influcence is tasted toward the end D - A good belgian pale, but a flavor that didn't wow me. I wish it had mor malt & hops than yeast. The drinkability was average to me, I would try it again if I saw it on tap."
170,58482,Pencible,"This poured a hazy copper color with fluffy light tan head. It smelled like fresh wheat and wild yeast and lemon hops, with candi sugar and salty cloves and earthy caramel. It tasted like sour lemon and wild yeast, with copper and caramel and fresh wheat, along with a bit of coriander and clove. It was fairly thin with moderate carbonation, and had a mild sour aftertaste. Overall this had a nice clean taste that started out a bit overly sour, but became richer and smoother as it warmed. It had a nice balance of spices, and decent body, so it was easy to drink. It seems like not many Belgian ales are offered for under 7% ABV anymore, but this one is a solid option."
171,200826,ShanePB,"Served on draft at Spring House Brewing Co. Reddish pink colored body with a quickly dissipating head. No lacing or retention. Aromas of cranberry, oak, white wine and sourness. Flavor is a bit more muted with the fruit flavor than the nose would lead you to believe. Delicate hints of cranberry along with a wash of sourness. Not much wine on the taste, either. The peach version of this is way, way better."
173,74580,tsauce2,"P: On-tap in to a 16 oz cup. A: SRM is dark brown. Semi-translucent. Head is tan, 1 in, dissipates to outsides of the beer. Medium carbonation. Medium lacing. S: Rich dark malt base with a touch of the classic porter smell. Light coffee notes and a touch of hops. T: Dark malt, light roastiness, with a bit of the classic porter bite and a natural malt flavor. Light hops. Crisp and clean flavors. M: Medium body. Roasted malts give a balanced and slightly creamy feel. Semi-dry finish. O: Very drinkable and a good example of an American Porter. This beer is nicely executed. I would like to see this beer on-tap around the city in more locations. I will order this beer any time I see it available."
175,74580,JamesS,"On tap at the Tomlinson Tap Room. Poured a wonderful deep, shiny brown, with some very excellent tan head and some nice lacing. Good deep dark malt scent with roasted grains and a lot of coffee. Huge coffee flavors, slight chocolate tones, and a nice earthy finish; very nice roasted grains; just slightly unbalanced from the coffee. Went down quite nicely."
177,259020,AdmiralOzone,"Pours a murky apricot color with a small off white head that dissipates quickly leaving minimal lacing. The aroma is the highlight of this beer, smells of tangerine, grapefruit and marmalade. The flavor is very sweet and malty with hardly any hop bitterness. No date on this can but presumably fairly fresh. The feel is fine, but overall a beer that I won't purchase (but wouldn't turn down if someone brought me some)."
