beer_id,username,text,score,name,style
58,StevieW,"Big 750ml brown bottle. Cork and cage. Batch # 5. Opened with a loud sharp ""pop"". Murky deep carmel brown color. Glowing with hints of light gold around the edges. Beautiful, pillowly soft and creamy tan head. Covers the body of the beer perfectly and clings to the glass. Visually stunning. Aromas that are matched by no other beer, that I have experienced. Smooth soft spices, pepper, cinnamon, earthy nutmeg and tart fresh brabdy soaked orange peels to finish. The first taste was striking. Soft, subtle combinations of the above mentioned flavors all sitting perfectly on a sweet carmel malt backbone. The end is a softly presented shot of moderate hops. Candied apples, rum soaked raisans just whisper by. Hop stickyness lingers. Again the taste and smell of this one, is clearly stunning. Nothing like it. Perfection, IMO. Smooth, so smooth creamy medium bodied feel. Perfectly balanced. Yeasty sediment settles into the bottom of the glass. Earthy full flavors explode. A great winter belgian made by the good people of Maine. One of the best I have had in any category. Seek this out, please. P.S. I need to go to confession after reading the LongBeachBum's review. Wow !",4.92,Grand Cru,Belgian Strong Dark Ale
59,aaron6440,"Best Belgian White I've had. Normally I stick to other categories, but I always stock this, as guests love it.",5.0,White,Belgian Witbier
61,california_republic,"Look: Cola brown with a thick, lasting foam that coats the sides in a layer when subsiding. Dark but clear without cloudiness or particulates. Respectable looking. Smell: Sweet roasted barley with a strong caramel dulce de leche note. There is also a lot of liquorice in the smell, emphasis in the liquor spelling of the word. Herbal licorice smell is definitely a sign of the hoppiness of the beer. Dried stone fruit rounds off the edge of the smell, giving it a fruitiness that definitely reminds me of that extra large muffin-shaped Christmas fruitcake that you get from Costco when it's the season. Complex with many notes, the smell is quite pleasant and truly excellent. Taste: Starts off with strong roasted malts with a sweetness like a coffee with sugar. Followed by tastes that are similar to how it smells, but with more dried fruit notes of raisin and prunes. Finish: Finishes roasted like a good medium-dark roast of coffee. Herbal notes leave the palate last, combined with the sweetness it is like a good piece of licorice. Overall: An excellent, classic porter that pushes the envelope by being refined yet approachable instead of over-the-top. A lot of the celebrated god-tier beers in the craft world are double/imperial styles that throw an ungodly amount of hops to try to impress you, but Anchor porter keeps it down to earth. Dark, sweet, fragrant, malty, hoppy, and not too bitter, it is to dark beers what Sierra Nevada Pale Ale is to pale ales. An outstanding beer that anyone can enjoy, whether you're a light beer casual or a DIPA elitist. If you're a craft beer enthusiast and can't enjoy this, you're a hipster.",5.0,Anchor Porter,American Porter
63,Harvard,"Since, 1981... the most well-balanced beer I've ever had. This one never grows old. Tastes great with any meal and in any season.",5.0,Anchor Steam Beer,California Common / Steam Beer
65,eafowler7,"Easy drinking and tasty! Bready with a short finish. Reliable taste and always reasonably priced. It's a shame that the beer scene has become so snobbish over the last several years. There is nothing wrong with liking this style or other beers with ""less flavor"". Each style has it's purpose and comparing a Budweiser to something like an Old Rasputin is ridiculous. There is a reason that this beer sells like crazy. In the future I think the rating category of price should be included. This is one of my go-tos. For those who think they're too good for macro brews, get off your high-horse and lighten up. Not everything needs to display how ""sophistcated"" you are. LIFE IS GOOD! CHEERS!",5.0,Budweiser,American Adjunct Lager
73,High_Def_Mike,"Delicious stout, dark with strong flavor.",5.0,Young's Double Chocolate Stout,English Sweet / Milk Stout
74,Shadar,The best Pumpkin Ale I've had. Truly fantastic. A ton of pumpkin and spice flavor. So excited that it's pumpkin season again so I can get more of these.,5.0,Post Road Pumpkin Ale,Pumpkin Beer
78,vanderSchorpioen,This is amazing belgian ale. The best witbier I ever tried!,5.0,Blanche De Bruxelles / Manneken Pis Belgian White,Belgian Witbier
79,DanielMB,"L: This poured a deep copper brown with some red notes to it, a very inviting appearance. S: Caramel, butterscotch, some toffee, vanilla, strong malts, and something like a caramel-apple pop. T: Very similar to the smell, so, in a word--delicious. I could barely believe I was drinking a BEER, not some sort of dessert. The overwhelming flavors are of caramel and butterscotch, then some vanilla, an almost apple-like flavor in there somewhere, with some malts and a tiny sort of alchol presence way in the back, which helps remind you that this great brew is, in fact, a beer, not a milkshake of some sort. M: Nice and robust, not too thick but not super-light or fizzy or anything like that. O: This is an absolutely stellar brew. I have had several other scotch ales/wee heavies since, and none of them have reached this mark.",5.0,Wee Heavy,Scotch Ale / Wee Heavy
83,sudz42,"This is an exceptional, easy quaffing Oktoberfest, surprisingly refreshing for the style; belying its amber hue and frothy head. I was reluctant to buy and be stuck with the 12er (you know the feeling), anticipating a potential malt syrup bomb, but I am pleasantly surprised, and may be scoring another 12er before supply runs out. The trademark Becks soft water feel is marred by an underlying astringency, like a macro hop bitterness. This Oktoberfest is a welcome change from the typical Ringwood yeast ale diacetyl sugar shack disasters that are readily available in New England. Becks is the #1 German import for a reason, friends. They've done it again here. Prost!",4.63,Beck's Oktoberfest,German Märzen / Oktoberfest
85,ahamlin,"This is currently my favorite beer. Every time I go to the Horseshoe Pub, I am tempted to ignore the other 79 offering and just order this flawless beer. Bold, rich flavor. No bitter aftertaste. Nice roasted notes, without being overpowering. And yes, I like the fact that it will kick you in the butt if you drink it too fast on an empty stomach.",5.0,Coffeehouse Porter,American Porter
87,TheOtherMike,This is one of my favorite session brews. I can always count on enjoying this in any occasion. It is usually available in my area. Everything about this Pale Ale is just right. Nothing is overdone or over the top. The balance of components is superb. It complements any meal. I would recommend this to anyone just beginning to explore the wide world of beer as an example of what is good beer.,5.0,Pale Ale,American Pale Ale (APA)
88,Dutchcraftbeergeek,Canned on the 20th of july. Still tasty. Wonderful!,5.0,IPA,American IPA
89,donchata,"This is nectar from the Gods. 64 ounces of delicious, frothy, full bodied heaven. Strong aromas of citrus, almonds and vanilla. Pours an excellent clean strong head that clings to the glass with all it's might. This is a beer to experience with friends. Enjoy!",4.92,Lost Sailor India Pale Ale,English India Pale Ale (IPA)
90,Joncasso,Really smooth and delicious. I would recommend it,5.0,Smoked Porter,Smoke Porter
92,Jeffdude,Outstanding. Strong ! I love this stuff,5.0,Arrogant Bastard Ale,American Strong Ale
96,brakspear,A beer above all others. THIS should be the beer that made Milwaukee famous! The other reviewers have perfectly described the way one taste of this beer informs you that no other Bavarian style beer brewed in America can hold a candle to a malty taste that is so rich and complex followed with a burst of coffee and hop sizzle. Midnight color that revealed a ruby undertone when held to a strong light. If you can find it in a bottle great...but if you can find it on tap....thank whatever god or goddess you pray to....,5.0,Black Bavarian Style Lager,German Schwarzbier
99,bizmirli,This is my favorite beer. It made me explore the world of craft beer,5.0,Spaten Optimator,German Doppelbock
100,tainohawk,blue moon harvest moon pumpkin ale is cool.,5.0,Blue Moon Harvest Moon Pumpkin Ale,Pumpkin Beer
101,SamFan,Best SAM product. Wish it was available year round.,5.0,Samuel Adams Winter Lager,German Bock
102,Ceddd99,"This is the beer that got me into craft beer a decade ago. A friend of mine came over with a six pack and handed me one. Up until that point I'd only ever drank american adjunct lagers and maybe a few imports. At first I didn't know quite what to make of it, but a few days later I went out and bought my own six pack and the more drank it the more I realized how good it was. A decade later and it's still a favorite. I like almost every beer that calls itself an oktoberfest , but I still haven't found one I enjoy more than this. It's light years ahead of the Boston Lager.",5.0,Samuel Adams Octoberfest,German Märzen / Oktoberfest
103,Dammit_Allie,"Summer is defined as: the warmest season of the year. But my definition includes a bottle of this! Bright, a tad citrus, spice notes and easy to drink. Truly my go-to beverage and it's not Summer without Summer!!!",5.0,Samuel Adams Summer Ale,American Pale Wheat Ale
104,Tweezerjam,"A perfectly balanced beer. Big, bold flavor. I have a hard time not gulping down the first three or four in rapid succession. Undoubtedly one of my top five favorite beers.",5.0,Samuel Adams Boston Lager,Vienna Lager
108,pasjc2001,Exceptional wheat beer brewed with cherries. A favorite of mine during the summer months.,5.0,Samuel Adams Cherry Wheat,Fruit and Field Beer
111,Spiritman,Just opened a bottle of 1995.... Wow just that good...,5.0,Samuel Adams Triple Bock,American Strong Ale
115,tjd112,"Presentation - Sam Smith nonic Appearance - Poured a nut brown with huge white head and excellent lacing Smell - Nutty and bready Taste - Nutty and bready with a little bit of chocolate for good measure Mouthfeel - Medium to full body, with smooth creamy finish Drinkability - A meal in a glass Overall - Great impression",4.9,Butthead Doppelbock,German Doppelbock
117,tjd112,"Presentation - Poured into Sam Smith nonic Appearance - Really dark brown with finger white head, well-laced Smell - Maple syrup Taste - Maple syrup, with some nuts, toffee, and chocolate Mouthfeel - Dangerous smooth, but medium bodied Drinkability - Very Overall - A new favourite",4.92,Maple Nut Brown Ale,American Brown Ale
129,Runbad,I could drink this all day,5.0,Orval Trappist Ale,Belgian Pale Ale
131,JDW4195,sooo smooth,5.0,Celebrator,German Doppelbock
132,MaMaJeansNaturalMarket,"The best hefewizen, hands down!!",5.0,Ayinger Bräu Weisse,German Hefeweizen
133,hustlesworth,"poured into ayinger stange, the way i had it when it was first served to me at the sharp edge, pittsburgh, pa. here's to my 500th review. a trifle to some but a landmark to my vagrant ass. A- a beer so highly sought after by me and so highly esteemed is more than worthy of my appreciation. if this is an export lager than what the hell do they keep in germany? pours a chill hazed golden amber. more lemony yellow upon inspection. the head is beautiful. european by all means and unquestionably german. does this go without saying? white, rocky, buildable, sturdy, and puffy like a cloud as it rises over the lip of the glass. i've longed to have this on my computer desk to give it an honest to goodness review (as opposed to half drunk in a bar). lacemeister on check, chunky and sticky and everything i seek. S- crisp pale grainy aroma with lemon and pepper. herbal and grassy and cleaner than the dortmunders i'm accustomed to. straightforward malt sweetness balanced by white lily floral and basil herbal hop notes with a touch of lemony bitterness make for one sick combo. T- malty sweet, honey and butter, light grains, apple, pear, white grape, reisling, touch of grassy hop flavor is working against the sweet. hard to call it bitter per se, as the bitterness is more expressed in subtle hop flavor- this one showcases malt with hops merely as an accent. all sorts of cereal grain flavors like the sweet little morsels of meusli, bran, rice, barley, oat, and wheat all wrapped up into a cereal bar of a beer with enough flora; and herbal hop bitterness and flavor to keep things under a sublime awning of balance. finishes sweet, dry, hoppy (NOT bitter) and yeasty with a touch of banana. heavenly. MF- as expected. i mean, after all, we're dealing with reinheitsgebot ass shit and that demands a certain aire of character... nay, a certain guarantee of quality that is-- as it were, encompassing the entire meaning of ingredientiality. respecting the german purity law as i do, i cannot help but be engaged in the balance, the very sincere simplicity of barley and hops and yeast and water that make this beer so great. D- unashamed, and upon ayinger's nutsack, i plege my allegiance to this brewery. if i ever find myself myself in germany i would probably fall to my knees. drinkability is beyond compare and i glorify this brew as such. hands down my favorite brewery and another stellar offering to hit on par with oktoberfest, weiss, and dunkel. many thanks.",4.88,Ayinger Jahrhundert Bier,European Export / Dortmunder
134,Evelet01,Very good beers it's heavy dark beer but easy to drink. Very smooth.,5.0,Ayinger Altbairisch Dunkel,Munich Dunkel Lager
135,PolishHurricane,"S: Sour and slightly tart, mildly dank, of dark wheat, especially banana bread. T: Banana Bread, mild clove, lactose sweet, mildly peppery, lightly tastes of wheat, very complex. Maybe even a light mint ,or sour, taste at times. F: Few other beers rival this one in mouthfeel and complexity. Thick mouth feel, medium-full to full carbonation, when taking a mouthfull, at times, sharp and peppery feel, crisp end with solidly creamy finish. In my opinion, the best of the Ayingers.",5.0,Ayinger Ur-Weisse,German Dunkelweizen
137,WormsBierTrinker,"I agree with the Brothers. After drinking Pils in Germany for 7 years, this is Very Good.",5.0,König Pilsener,German Pilsner
138,josanguapo,"From Optimus Beer. In Roquetas de Mar. Afte dinner. In shaker glass. Perfect, full of tasty dark fruits and with a good body. I cant think in a way of improving it",5.0,Corsendonk Pater / Abbey Brown Ale,Belgian Dubbel
139,Moosehunter,"I have tasted many Belgian beers and this is by far my favourite. Tastes much better in the right glass too. I like the taste, the feel and the strength. I have not managed to buy Corsendonk Agnus as yet in the UK but make sure that I always stock up when I am anywhere near Belgium. I would welcome an English supplier.",5.0,Agnus Dei (Abbey Pale Ale),Belgian Tripel
140,Marcosleigh,"This is one of the best beer I ever tasted, at the beginning I was skeptical about the alcohol grade but at the end the flavor is so delicate, is like drinking a 30 year old whisky, love the dark color and excellent carbonation, 2 Thumbs way Up!",5.0,Corsendonk Christmas Ale,Belgian Strong Dark Ale
141,xmorgan,"Had this on daft at ""Joes Corner"" in Niles,ca It poured a dirty reddish tornado that filled the air with straw and grassy elements. I pauses and think of families of workers, being refreshed with a similar beverage. I found this quit drinkable and it is too hard to pin this style so Enjoy!",5.0,Hennepin,Belgian Saison
142,Thors_Bounty,This is the second brew from Ommegang in 2 nights. This is definitely is one of the best beers I have ever had! Looking forward to trying more from them.,5.0,Abbey Ale,Belgian Dubbel
145,RBorsato,"Dark raspberry color with a full pink-ish head. Nice dark raspberry fruit aroma and flavor ! Not extract-like at all since it is real fruit ... yes, you can tell the difference BIG TIME ! Light-medium bodied and smooth. A solid REAL fruit beer ! Awesome and addictive. Not cheap but well worth the extra $. Per label: ""fermented with hundreds of pounds of red and black raspberries"" Bottled: 2nd week of April (2003) Tasted: 08/10/03 ($7.99 / 6-pack)",4.8,Wild Raspberry Ale,Fruit and Field Beer
146,DCurrier,Excellent classic Brown Ale taste.,5.0,Brooklyn Brown Ale,American Brown Ale
147,beerinabottle,Not as hoppy as I expected but the alcohol well hidden.,4.9,Brooklyn East India Pale Ale,English India Pale Ale (IPA)
148,Yarum,Very good beer,5.0,Brooklyn Lager,American Amber / Red Lager
155,Capn_Offal,"A delicious and beautiful brew, which wisks you away on a cloud of pearlescent bubbles over a smooth yet undulating amber sea of dreams. The refreshing breeze of hops gently carries you through flights of golden dragons all drinking flights of this glorious beer. Take time out of your day to experience this beer if you have yet to do so. From pour to finalé, take in every drop and take your time while doing so. You won't be disappointed.",5.0,Gulden Draak,Belgian Strong Dark Ale
156,Safa1,If Jesus were to drink real beer he would drink this. Otherwise he'd keep drinks by coronas. This beer is one of the greatest.,5.0,Piraat,Belgian Strong Pale Ale
157,chipachu2,"Im surprized at how low that people have rated this exeptional beer. This is actually my favorite beer in the Belgium Abbey Dubbel line. Described as the ""Burgandy"" of Belgiuym, it is a rich and robust beer that even beats many in the St. Bernardus line. A - Poured into a 12 oz goblet. Amber brown and next to nothing lacing. S - Gorgeous. Sweet Brown Sugar, Hops and Malt. T- Refreshing brown sugar with a carbonated snap. M - Nice weight and gravity. goes down like water with a consistent aftertaste. D- It realy is one of my all time favorities.The price does keep me away from ordering it all the time, but I will get it for my next special holiday.",5.0,Affligem Dubbel,Belgian Dubbel
159,coombuyah26,"Poured into a standard American pint. At first glance, this isn't all that different than your standard APA. It's a nice amber color, but nothing overly glowing. Has a clean, white 1 finger head after the pour, but it doesn't stick around for very long. The appearance is the only thing that I find average on this beer. The smell holds little back: sweet, earthy hops right up front, but the malts get in there too. The same could be said for that first swig of it: more hops than it would lead you to believe right up front, but a really nice malty backbone that a lot of beers with this much hops seem to leave out. In fact, the balance on this one is really spot-on. The mouthfeel is a little thicker than your typical pale, with medium, foamy carbonation, but this beer is really very drinkable. I think the mouthfeel is really where it excels. Overall, this is my favorite standard pale ale. The 5.4% is hard to believe from a beer that packs this much hoppiness, but I don't think there's much that could get better about it. A staple in my fridge.",4.69,Denver Pale Ale,English Pale Ale
171,Coopaloop2112,Can drink this beer like its my job.,5.0,Dos Equis Amber Lager,Vienna Lager
181,1KEVIN1,1 two three for feve seex,4.89,Smuttynose Barleywine Style Ale (Big Beer Series),American Barleywine
184,Marccregan,This would be the Gold (Brown) standard.,5.0,Old Brown Dog,American Brown Ale
185,horshack7,"Appearance: Poured into a snifter very dark with a dark tan rocky head. Light could not possibly pass through this glass of wonderful darkness. Aromas: Tremendous malt notes with a burnt hop aroma. Chocolate notes left and right. Nice mild coffee notes. The aromas are actually quite balanced with this style of beer. Taste: Wow this one packs one incredibly lethal punch thats so great. Burnt hop notes dance around the pallate. It's very robust and sweet yet balanced between the maltiness, coffee notes and hops. The mouthfeel is real smooth and silky very much like melted dark chocolate. Notes: This one is perfect for any cold winter night and not too shaby for a cool fall night. In fact the colder the night the better it can warm up the coldest of nights. I definately will have a stock of this beauty for the winter. I'm contemplating giving this masterpiece from Smuttynose fives across the board. Should I dare yes I do dare and will. For all those who adore Russian Imperial stouts this is for you Prost.",5.0,Smuttynose Imperial Stout (Big Beer Series),Russian Imperial Stout
186,John,"Had the pleasure of trying this for the first time this summer in NH. I wish it were available in NY. Beautiful color, creamy smooth texture, gorgeous hop profile.",4.9,Smuttynose Shoals Pale Ale,English Pale Ale
195,davidward,"An excellent pale ale. Subtle biscuit, caramel flavors and so refreshing. What a pale ale should be.",5.0,Mirror Pond Pale Ale,American Pale Ale (APA)
197,LeeMoore,"Great tasting, with a hint of sweetness, this is a stellar stout.",5.0,Obsidian Stout,American Stout
198,406theman,Dark but somewhat reddish when held to the light. Had a good toasty malt smell. Medium pleasant mouthful and an awesome taste of smooth bitterness with a dark chocolate flavor. Loved this beer I should drink more like this.,5.0,Black Butte Porter,American Porter
199,Coffdaddy,Another fantastic DFH beer. I think this beer needs to be aged 2+ years to bring out its full potential.,5.0,Immort Ale,English Strong Ale
204,BeerLover48Fan,"A: Good looking beer. Didn't get much of a look at it since I ordered one in a dimly lit bar. S: Smelled sweet and malty. I liked it T: Very sweet with a hint of maple. I don't remember it being bitter but I had already had a few other brews in me and that usually kills the bitterness of later beers. M: Very light and easy to take when you're just planning to have a good night with friends without dealing with sub par beer. D: Very drinkable. The kind of beer you would want to go to if you plan on drinking for a while and you want something with actual taste. I guess I would call it a ""fun"" beer Serving type: bottle Got lucky and I got to drink not one, but two of these last night. Will definitely buy this again next time I plan on drinking with a crowd of people. I had 2 complex brews and a cheap adjunct before this so it was a nice way to end the night. Basically a fun beer that is very tasty and good to drink when the beer isn't the most important part of the night. Serving type: bottle",4.87,Old Scratch Amber Lager,American Amber / Red Lager
205,itshartshaped,"This beer is very similar to Raging Bitch. It has nice grapefruit hops, it's not bitter. It has caramel malts. Its great tasting American Ale. Luv it, Luv it!",4.83,Snake Dog IPA,American IPA
206,ultralarry2006,"Poured from a 12 oz. bottle. Leaves a one finger biege head that quickly fades to some surface skim, eventually fading to just a foam ring at the edge, and it leaves some good spotty lacing. Body is dark brown with purple highlights. Smell - plums, maltbread, some chocolate, hint of nuts, hint of cloves, and raisins, and dates. Mouthwatering. Taste - same as the smell - plums, dates, raisins, all over maltbread, with a hint of chocolate, nuts, cloves, and yet more sour dark ripe fruit on the finish. Very delicious and hearty. Mouthfeel - full bodied, smooth, and semi-dry. Drinkability - this is very good ale. It's hearty and quite sessionable.",4.6,Road Dog Porter,American Porter
213,wa6itd,One of the finest ales I have ever tasted. Available at my neighborhood Trader Joe's for a reasonable price ($6.49/6).,5.0,Full Sail Amber,American Amber / Red Ale
214,AtrumAnimus,"This excellent American brew pours a wonderful burnt golden color. There is a nice tan head that is satisfactory in life. The nose is very hoppy, There are fruity undertones as well. The flavors are very complex with fruity malt that is not so dry as to match the nose. There is a strong well balanced hop flavor here and notes of spice. Very satisfying and hearty beer.",4.77,Full Sail Pale Ale,American Pale Ale (APA)
217,hissy,OMG! This is simply excellent. I am also one that judges by style. I don't compare a craft against adjunct. Its apples to apples with me. This is one great beer period! I had mine in a frosted mug. The beer was just chilled not cold and the first drink was heaven. It is well balanced and full of flavor. Try it before it is no longer availible.,5.0,Full Sail Wassail,Winter Warmer
219,markjknowles,"This is one of those beers that is why craft beer exists. For many of us, American beers were awful and exemplary of a cultural norm we didn't identify with. We looked to exports and found a world that just didn't exist for us at home. A handful of those exports drove s to create more. To do better. This is one of those defining beers for me. A master class in subtlety and balance, this is how one harmonizes the components that make up beer. Simply perfection.",5.0,Fuller's ESB,English Extra Special / Strong Bitter (ESB)
221,GregHansen,"I got this beer on sale - it was 1 1/2 years past the ""sell by"" date. Nonetheless, I loved it. It was a tad bitter, but that is what I am looking for in a porter.",5.0,Fuller's London Porter,English Porter
222,monkist,"This is simply the hoppiest - and the best imho - English ale, period. The most overwhelming and drinkable, smooth ale with a hoppy nose and hoppy taste, glorified by a golden amber hue. And this is not all! This is an ale that you could drink again and again and again and you would never get bored of it. It is exciting, it is lively but at the same time it is still keeping the old traditions. It is a Classic with a capital C. A must for all.",5.0,Fuller's London Pride,English Pale Ale
224,Markapeters,Favorite beer,5.0,Schneider Weisse Tap 6 Unser Aventinus,German Weizenbock
225,Savannahdrunk,"Beer is bueno. Word, yo.",5.0,Burning River Pale Ale,American Pale Ale (APA)
226,GuitChick,This is one of my go to porters. Pours deep brown with a 1-2 inch tan head. Beautiful lacing and moderate carbonation. Hints of chocolate and molasses. Creamy mouthfeel and lingering finish. Not too high of an ABV that you can't have more than one.,5.0,Edmund Fitzgerald Porter,American Porter
228,Dmac99,One of the best beers I have ever had. This beer put Cleveland on the map for craft beer and there is now a vibrant beer scene there. Make it a point to try this one if you have not already.,5.0,Dortmunder Gold,European Export / Dortmunder
229,swit,My favorite beer ever!,5.0,Eliot Ness,Vienna Lager
232,Lucas_772,"Has a nice solid straight up look. Smells refreshing, to most the taste is going to be an acquired taste aka you'll get used to it.",5.0,Corona Extra,American Adjunct Lager
233,beerdrinker21144,"Yeah, I like it. It isn't a hipsteresqe IPA that is so hoppy you cant drink more than one an hour, but it is good nonetheless. Hipsters, shakes head.",5.0,Corona Light,American Light Lager
234,BenHoppy,"Malty, caramel, toffee goodness. Best it comes for an Oktoberfest marzen.",5.0,Hacker-Pschorr Original Oktoberfest Amber Märzen,German Märzen / Oktoberfest
236,mikenotchey,"beautiful pour, beautiful nose, beautiful color and...delicious",5.0,Hobgoblin,English Extra Special / Strong Bitter (ESB)
243,mclem06,"Out of the beers that are not extremely hard to find, this is what normally starts my night off at the local establishment. Specialty beers are normally not my cup of tea but this one is a must try if you haven't already. Instead of hops the Scottish brewed beer back in the day with Spruce and Pine so it is very different than a hop brew. The flavors come together for a heavier sweeter malt with a light fruit finish leaving a wonderful aroma and taste on the palet. It's a perfect start to the night, goes down extremely smooth and is delicious. My mouth is watering for one right now!! I only gave it a 4.5 on drinkability, mouthfeel and appearance and not 5's because modestly i have not had a beer that I would give all 5's to. The fact that this beer has 2 of the 5 ratings at 5 sets a high standard for others to live by for me.",4.82,Alba Scots Pine Ale,Scottish Gruit / Ancient Herbed Ale
244,putnam,"Cloudy orange amber color. Nose of buttery, whole wheat and charred Alpine cheese. There is a smart, sunny tartness that lifts the ample maltiness and creates detailed, delicate balance. After sniffing at it for ten minutes from a wine glass there does in fact emerge a subtle smell of sweet, thick-skinned black berry. It is an enigma. The more I focus on it, the less obvious it becomes. A slight smoky graphite flavor emerges later too. Clean. hazel. dry dry.",4.6,Grozet,Scottish Gruit / Ancient Herbed Ale
245,souljorn,This is by far my favorite beer of all time. It's made from a recipe from thousands of years ago. It's what a good beer would have been like around 500A.D. And it still stands true till today.,4.99,Fraoch Heather Ale,Scottish Gruit / Ancient Herbed Ale
246,Bsimpson91,"Iconic green bottle, golden European lager. The look of this beer is timeless and classic. Golden appearance typical for a pale lager. The smell is malty, bready, yeasty goodness. The flavor of this beer is much dryer than an American lager. You get a toasted malt character that has some subtle sweetness that quickly goes into a dry finish. You will also experience a pleasant and very underlying green apple flavor that Is one reason I love this beer. I believe Heineken is a wonderful lager with unique qualities that make it so well known across the world.",5.0,Heineken Lager Beer,European Pale Lager
248,Steven1991,Best beer I have ever drank it's the last beer I want to drink in my life all fives from me it's a perfect brew,5.0,Hoegaarden Original White Ale,Belgian Witbier
260,acevenom,"Poured into a dimpled mug. Pours black with a two-finger length tan head. Some lacing is left on the glass as the head dissipates. There are aromas of dark roasted malts, chocolate and coffee. The taste follows the nose. It's very roasty with chocolate and coffee notes. I get some of that oatmeal flavor as well. There is some roastiness in the aftertaste. The body is light to medium with moderate carbonation. The drinkability is fairly high and the oatmeal helps smooth the beer. This is an excellent beer.",5.0,Ipswich Oatmeal Stout,English Oatmeal Stout
262,JudgeRoughneck,"This black porter has a thin tan head with sticky, stratified lacing. It smells of marshmallow, coacoa, spicy hops, cherry, and alcohol. Roasted malt and hop bitterness remain distinct but come together wonderfully as creamy caramel, coffee, and chocolate tastes all emerge in layers before blending together with a hint of cinamon in the finish. This is mid-bodied with a creamy, fluffy mouthfeel. Wow.",4.97,Saint Bridget's Porter,American Porter
263,Schitz,I tasted when it came back in 2008 and my memory lit up. It was Schlitz we snuck as kids. I want it now. Finnegan's a beer that supports the homeless has taste similar to Schlitz.,5.0,Schlitz,American Adjunct Lager
264,Sh9683,Only ipa that tastes good. Can’t stand hoppy beers. Might as well drink sewer water. Lol. This ipa has no bitterness or hoppy garbage lol. It may be too watery for most but I think it has a nice flavour.,5.0,Alexander Keith's India Pale Ale,American Blonde Ale
